"Age","Gender","Education","Employment","F.Chat","Purp.Chat","F.Google","Purp.Google","F.Google","Purp.Google","AVG.MGT","AVG.MGP","AVG.TGT","AVG.TGP","F.Chat","Purp.Chat","AVG.MCT","AVG.MCP","AVG.TCT","AVG.TCP"
23,1,2,2,1,"Educational purposes; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,73","3,6","4,64","3,65",1,"Educational purposes; Recommendations","3,27","3","3,64","3,4"
24,2,2,1,2,"Educational purposes; Professional purposes; Self-development",4,"Educational purposes; Professional purposes",4,"Educational purposes; Professional purposes","2,18","2,2","3,45","2,61",2,"Educational purposes; Professional purposes; Self-development","3","2,2","3,27","3,6"
24,1,2,2,4,"Educational purposes; Self-development",1,"Educational purposes; Self-development",1,"Educational purposes; Self-development","3,55","3,4","3,45","3,21",4,"Educational purposes; Self-development","3,27","2,4","3,36","2,6"
22,3,2,2,4,"Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,64","4,8","4,45","3,2",4,"Recommendations","1,91","1,2","2,55","1,2"
22,2,2,2,1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development","3,64","4,4","3,55","3,77",1,"Educational purposes; Professional purposes","3,45","3,8","3,45","3,6"
23,2,1,2,4,"Educational purposes; ideas or revisions or summaries ",4,"Educational purposes; free time but mostly emails",4,"Educational purposes; free time but mostly emails","1,73","2,4","3,55","2,26",4,"Educational purposes; ideas or revisions or summaries ","1,64","2","3,27","3,2"
27,2,2,1,3,"Educational purposes; Recommendations",1,"Educational purposes; Recommendations; Medical advice",1,"Educational purposes; Recommendations; Medical advice","3,27","3,8","4,36","3",3,"Educational purposes; Recommendations","2,18","1,4","3,55","2,2"
21,2,2,3,2,"Educational purposes; Professional purposes",2,"Educational purposes; Self-development; Recommendations",2,"Educational purposes; Self-development; Recommendations","3,18","1,6","4,64","2,81",2,"Educational purposes; Professional purposes","2,82","1,8","4,55","4"
19,2,1,2,4,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development","2,09","2","3,09","2,53",4,"Educational purposes; Self-development","2,45","3","3,27","3,8"
26,2,3,2,1,"Educational purposes; Professional purposes; ",1,"Educational purposes; Self-development; Medical advice",1,"Educational purposes; Self-development; Medical advice","2,55","2,4","2,18","2,46",1,"Educational purposes; Professional purposes; ","3,18","2","3,91","4,4"
25,1,2,3,3,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3","1,8","3,91","2,94",3,"Educational purposes; Self-development","3","3","4,09","4,6"
25,2,3,2,2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,82","4,8","4,64","3,96",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","2,73","3,8","3","2,2"
24,1,2,2,1,"Educational purposes; Self-development",1,"Self-development; Recommendations",1,"Self-development; Recommendations","3,18","3","3,09","2,97",1,"Educational purposes; Self-development","3","2,6","3","3,4"
26,2,3,2,2,"Educational purposes",1,"Educational purposes; Recommendations; Medical advice",1,"Educational purposes; Recommendations; Medical advice","2","1,8","3,36","2,2",2,"Educational purposes","1,82","2","3","3,8"
22,1,1,2,2,"Educational purposes; Curiosity",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; Pretty much everything ",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; Pretty much everything ","3,09","3,6","4,55","3,54",2,"Educational purposes; Curiosity","3,45","3","4,73","3,8"
30,1,3,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,64","4,2","3,55","3,64",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3","3,8","4,18","5"
24,1,2,2,2,"Educational purposes",1,"Educational purposes",1,"Educational purposes","3,36","3,8","4,09","3,74",2,"Educational purposes","3,45","4","4","4,4"
25,1,2,2,2,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,64","2,6","3,91","2,99",2,"Educational purposes; Professional purposes; Self-development","3","2,8","3,82","3,8"
32,2,3,3,1,"Professional purposes",1,"Recommendations",1,"Recommendations","3,45","2,6","4,27","3,63",1,"Professional purposes","3,82","4","3,73","4,4"
